If,Tree,Input,Size,Time,GPU
3,2,1,100000000,9.4384ms,GeForce GTX 1050 Ti
3,2,1,50000000,4.7249ms,GeForce GTX 1050 Ti
4,2,1,100000000,13.289ms,GeForce GTX 1050 Ti
4,2,1,50000000,6.5418ms,GeForce GTX 1050 Ti
5,2,1,100000000,21.886ms,GeForce GTX 1050 Ti
5,2,1,50000000,11.071ms,GeForce GTX 1050 Ti
6,2,1,100000000,40.243ms,GeForce GTX 1050 Ti
6,2,1,50000000,19.567ms,GeForce GTX 1050 Ti
7,2,1,100000000,79.994ms,GeForce GTX 1050 Ti
7,2,1,50000000,39.860ms,GeForce GTX 1050 Ti
8,2,1,100000000,160.34ms,GeForce GTX 1050 Ti
8,2,1,50000000,79.899ms,GeForce GTX 1050 Ti
9,2,1,100000000,669.90ms,GeForce GTX 1050 Ti
9,2,1,50000000,333.92ms,GeForce GTX 1050 Ti
10,3,1,100000000,,GeForce GTX 1050 Ti
10,3,1,50000000,,GeForce GTX 1050 Ti
2,3,1,100000000,11.378ms,GeForce GTX 1050 Ti
2,3,1,50000000,5.3907ms,GeForce GTX 1050 Ti
3,3,1,100000000,15.161ms,GeForce GTX 1050 Ti
3,3,1,50000000,7.2450ms,GeForce GTX 1050 Ti
4,3,1,100000000,21.630ms,GeForce GTX 1050 Ti
4,3,1,50000000,9.7972ms,GeForce GTX 1050 Ti
5,3,1,100000000,34.372ms,GeForce GTX 1050 Ti
5,3,1,50000000,15.556ms,GeForce GTX 1050 Ti
6,3,1,100000000,59.651ms,GeForce GTX 1050 Ti
6,3,1,50000000,29.084ms,GeForce GTX 1050 Ti
7,3,1,100000000,127.23ms,GeForce GTX 1050 Ti
7,3,1,50000000,63.265ms,GeForce GTX 1050 Ti
8,3,1,100000000,250.51ms,GeForce GTX 1050 Ti
8,3,1,50000000,125.26ms,GeForce GTX 1050 Ti
9,3,1,100000000,968.54ms,GeForce GTX 1050 Ti
9,3,1,50000000,484.12ms,GeForce GTX 1050 Ti
10,4,1,100000000,,GeForce GTX 1050 Ti
10,4,1,50000000,,GeForce GTX 1050 Ti
2,4,1,100000000,9.4170ms,GeForce GTX 1050 Ti
2,4,1,50000000,5.2612ms,GeForce GTX 1050 Ti
3,4,1,100000000,13.011ms,GeForce GTX 1050 Ti
3,4,1,50000000,6.3429ms,GeForce GTX 1050 Ti
4,4,1,100000000,22.356ms,GeForce GTX 1050 Ti
4,4,1,50000000,11.642ms,GeForce GTX 1050 Ti
5,4,1,100000000,40.043ms,GeForce GTX 1050 Ti
5,4,1,50000000,19.928ms,GeForce GTX 1050 Ti
6,4,1,100000000,80.040ms,GeForce GTX 1050 Ti
6,4,1,50000000,39.577ms,GeForce GTX 1050 Ti
7,4,1,100000000,167.18ms,GeForce GTX 1050 Ti
7,4,1,50000000,85.576ms,GeForce GTX 1050 Ti
8,4,1,100000000,342.30ms,GeForce GTX 1050 Ti
8,4,1,50000000,170.94ms,GeForce GTX 1050 Ti
9,4,1,100000000,1.28466s,GeForce GTX 1050 Ti
9,4,1,50000000,643.04ms,GeForce GTX 1050 Ti
